               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12417,             0.58989,                   0,             0.10844,            0.047314,            0.057931,             0.01459,              0.1218,             0.50486,                   0,              0.0865,              0.0015,              0.0015
                   1,             0.11644,             0.46848,                   0,             0.16353,             0.11764,            0.097146,            0.023588,             0.11199,             0.49692,                   0,             0.07208,           0.0030795,           0.0030795
                   2,             0.10351,             0.46615,                   0,             0.28391,             0.47392,             0.27126,            0.068851,             0.10333,             0.62259,                   0,            0.057638,            0.004638,            0.004638
                   3,            0.090419,             0.49501,                   0,             0.30197,              0.6188,             0.32523,            0.098948,            0.097676,             0.56191,                   0,            0.043175,           0.0061753,           0.0061753
                   4,            0.086948,             0.50144,                   0,             0.38488,             0.82509,             0.61203,             0.19996,            0.083653,             0.71679,                   0,            0.028691,           0.0076914,           0.0076914
                   5,            0.083082,             0.55059,                   0,              0.2983,             0.68386,              0.4202,             0.14672,            0.085031,             0.52778,                   0,            0.014186,           0.0091865,           0.0091865
                   6,            0.079425,             0.51329,                   0,             0.29306,             0.70684,             0.31636,             0.12848,            0.082015,             0.47525,                   0,            0.009604,            0.009604,            0.009604
                   7,            0.078805,             0.53054,                   0,             0.70726,             0.80699,               0.762,             0.29474,            0.074131,              0.4346,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.076136,              0.4801,                   0,              0.3634,             0.74588,             0.32274,             0.12582,            0.091909,             0.49111,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.084353,             0.51842,                   0,             0.77464,             0.87164,             0.89456,             0.39067,            0.076886,             0.48786,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.071548,             0.50507,                   0,              0.7516,             0.86211,             0.79017,             0.36944,            0.070703,             0.46805,                   0,            0.009406,            0.009406,            0.009406
